"Time";"power_1";"power_10";"power_11";"power_2";"power_3";"power_4";"power_5";"power_6";"power_7";"power_8";"power_9"
"2019-10-01T08:21:13+02:00";null;null;null;null;null;null;null;null;null;null;2567.6235
"2019-10-01T08:21:19+02:00";null;null;null;null;null;null;null;null;2462.2161;null;null
"2019-10-01T08:21:30+02:00";null;null;null;null;null;2596.281;null;null;null;null;null
"2019-10-01T08:21:31+02:00";null;null;null;2609.9709;null;null;null;null;null;null;null
"2019-10-01T08:21:40+02:00";null;2096.8376;null;null;null;null;null;null;null;null;null
"2019-10-01T08:21:46+02:00";null;null;null;null;null;null;null;null;null;2124.717;null
"2019-10-01T08:21:50+02:00";null;null;null;null;null;null;2260.7964;null;null;null;null
"2019-10-01T08:21:52+02:00";null;null;null;null;null;null;null;2217.1064;null;null;null
"2019-10-01T08:21:58+02:00";null;null;null;null;2110.6294;null;null;null;null;null;null
"2019-10-01T08:21:59+02:00";4683.4551;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:22:07+02:00";null;null;2191.6909;null;null;null;null;null;null;null;null
"2019-10-01T08:22:13+02:00";null;null;null;null;null;null;null;null;null;null;2490.3201
"2019-10-01T08:22:19+02:00";null;null;null;null;null;null;null;null;2432.5815;null;null
"2019-10-01T08:22:30+02:00";null;null;null;null;null;2571.8237;null;null;null;null;null
"2019-10-01T08:22:31+02:00";null;null;null;2522.0625;null;null;null;null;null;null;null
"2019-10-01T08:22:40+02:00";null;2142.0327;null;null;null;null;null;null;null;null;null
"2019-10-01T08:22:46+02:00";null;null;null;null;null;null;null;null;null;1986.7395;null
"2019-10-01T08:22:50+02:00";null;null;null;null;null;null;2195.5007;null;null;null;null
"2019-10-01T08:22:52+02:00";null;null;null;null;null;null;null;2083.7568;null;null;null
"2019-10-01T08:22:58+02:00";null;null;null;null;2164.1223;null;null;null;null;null;null
"2019-10-01T08:22:59+02:00";4771.7461;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:23:07+02:00";null;null;2136.4722;null;null;null;null;null;null;null;null
"2019-10-01T08:23:13+02:00";null;null;null;null;null;null;null;null;null;null;2632.4175
"2019-10-01T08:23:19+02:00";null;null;null;null;null;null;null;null;2510.978;null;null
"2019-10-01T08:23:30+02:00";null;null;null;null;null;2600.824;null;null;null;null;null
"2019-10-01T08:23:31+02:00";null;null;null;2532.3948;null;null;null;null;null;null;null
"2019-10-01T08:23:40+02:00";null;2171.5564;null;null;null;null;null;null;null;null;null
"2019-10-01T08:23:46+02:00";null;null;null;null;null;null;null;null;null;2104.7788;null
"2019-10-01T08:23:50+02:00";null;null;null;null;null;null;2148.1362;null;null;null;null
"2019-10-01T08:23:52+02:00";null;null;null;null;null;null;null;2069.0481;null;null;null
