"Time";"temperature_p02r08c01srv01_inlet";"temperature_p02r08c01srv02_inlet";"temperature_p02r08c01srv03_inlet";"temperature_p02r08c02srv01_inlet";"temperature_p02r08c02srv02_inlet";"temperature_p02r08c02srv03_inlet";"temperature_p02r08c03srv01_inlet";"temperature_p02r08c03srv02_inlet";"temperature_p02r08c03srv03_inlet";"temperature_p02r08c04srv01_inlet";"temperature_p02r08c04srv02_inlet";"temperature_p02r08c04srv03_inlet";"temperature_p02r08c05srv01_inlet";"temperature_p02r08c05srv02_inlet";"temperature_p02r08c05srv03_inlet";"temperature_p02r08c06srv01_inlet";"temperature_p02r08c06srv02_inlet";"temperature_p02r08c06srv03_inlet";"temperature_p02r08c07srv01_inlet";"temperature_p02r08c07srv02_inlet";"temperature_p02r08c07srv03_inlet";"temperature_p02r08c08srv01_inlet";"temperature_p02r08c08srv02_inlet";"temperature_p02r08c08srv03_inlet";"temperature_p02r08c09srv01_inlet";"temperature_p02r08c09srv02_inlet";"temperature_p02r08c09srv03_inlet";"temperature_p02r08c10srv01_inlet";"temperature_p02r08c10srv02_inlet";"temperature_p02r08c10srv03_inlet";"temperature_p02r08srv17_inlet";"temperature_p02r08srv18_inlet";"temperature_p02r08srv19_inlet";"temperature_p02r08srv20_inlet"
"2019-10-01T08:05:39+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;21;null
"2019-10-01T08:05:39+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;20
"2019-10-01T08:06:37+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;23;null;null;null
"2019-10-01T08:06:38+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;21;null;null
"2019-10-01T08:06:38+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;21;null
"2019-10-01T08:06:39+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;20
"2019-10-01T08:07:06+02:00";null;null;null;null;null;19;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:07:06+02:00";null;null;null;19;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:07:07+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;19;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:07:08+02:00";null;null;null;null;19;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:07:09+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;20;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:07:10+02:00";null;null;null;null;null;null;null;null;null;17;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:07:11+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;21;null;null;null;null;null;null;null;null;null;null;null;null;null
