time,Room setpoint,Room Temp,return,return.1,discharge
02-Oct-2019 11:24:00,23.0,23.0,32.9,32.8,17.1
02-Oct-2019 11:25:00,23.0,23.0,32.9,32.8,17.2
02-Oct-2019 11:26:00,23.0,23.0,32.9,32.8,17.2
02-Oct-2019 11:27:00,23.0,23.0,32.9,32.8,17.2
02-Oct-2019 11:28:00,23.0,23.0,32.9,32.8,17.2
02-Oct-2019 11:29:00,23.0,23.0,32.9,32.9,17.2
02-Oct-2019 11:30:00,23.0,23.0,32.9,32.8,17.2
02-Oct-2019 11:31:00,23.0,23.0,32.9,32.8,17.1
02-Oct-2019 11:32:00,23.0,23.0,32.9,32.8,17.1
02-Oct-2019 11:33:00,23.0,23.0,32.8,32.8,17.1
02-Oct-2019 11:34:00,23.0,23.0,32.9,32.9,17.1
02-Oct-2019 11:35:00,23.0,22.9,32.9,32.8,17.1
02-Oct-2019 11:36:00,23.0,22.9,32.9,32.8,17.1
02-Oct-2019 11:37:00,23.0,23.0,32.9,32.8,17.1
02-Oct-2019 11:38:00,23.0,22.9,32.9,32.9,17.1
02-Oct-2019 11:39:00,23.0,23.0,32.9,32.9,17.1
02-Oct-2019 11:40:00,23.0,22.9,32.9,32.9,17.2
02-Oct-2019 11:41:00,23.0,22.9,32.9,32.9,17.2
02-Oct-2019 11:42:00,23.0,23.0,32.9,32.9,17.2
02-Oct-2019 11:43:00,23.0,23.0,33.0,32.9,17.2
02-Oct-2019 11:44:00,23.0,23.0,32.9,33.0,17.3
02-Oct-2019 11:45:00,23.0,23.0,33.0,32.9,17.3
02-Oct-2019 11:46:00,23.0,23.0,33.0,32.9,17.3
02-Oct-2019 11:47:00,23.0,22.9,33.0,32.8,17.2
02-Oct-2019 11:48:00,23.0,23.0,33.0,32.9,17.2
02-Oct-2019 11:49:00,23.0,23.0,33.0,32.9,17.1
02-Oct-2019 11:50:00,23.0,23.0,33.0,32.9,17.0
02-Oct-2019 11:51:00,23.0,23.0,33.0,32.9,17.0
02-Oct-2019 11:52:00,23.0,23.0,33.0,33.0,17.0
02-Oct-2019 11:53:00,23.0,23.0,33.2,33.1,17.1
02-Oct-2019 11:54:00,23.0,23.0,33.5,33.4,17.2
