"Time";"temperature_0";"temperature_1";"temperature_2";"temperature_3";"temperature_4"
"2019-10-02T09:03:21+02:00";null;null;25.375;null;null
"2019-10-02T09:03:21+02:00";null;26.5;null;null;null
"2019-10-02T09:03:26+02:00";null;null;25.313;null;null
"2019-10-02T09:03:26+02:00";null;26.5;null;null;null
"2019-10-02T09:03:26+02:00";null;null;null;25.75;null
"2019-10-02T09:03:26+02:00";null;null;null;null;24.688
"2019-10-02T09:03:26+02:00";26.063;null;null;null;null
"2019-10-02T09:03:31+02:00";null;null;25.25;null;null
"2019-10-02T09:03:31+02:00";null;26.438;null;null;null
"2019-10-02T09:03:31+02:00";null;null;null;25.75;null
"2019-10-02T09:03:31+02:00";26.063;null;null;null;null
"2019-10-02T09:03:31+02:00";null;null;null;null;24.688
"2019-10-02T09:03:36+02:00";null;null;25.25;null;null
"2019-10-02T09:03:36+02:00";null;26.438;null;null;null
"2019-10-02T09:03:36+02:00";null;null;null;25.75;null
"2019-10-02T09:03:36+02:00";26.063;null;null;null;null
"2019-10-02T09:03:36+02:00";null;null;null;null;24.688
"2019-10-02T09:03:42+02:00";null;null;25.313;null;null
"2019-10-02T09:03:42+02:00";null;26.438;null;null;null
"2019-10-02T09:03:42+02:00";null;null;null;25.75;null
"2019-10-02T09:03:42+02:00";null;null;null;null;24.688
"2019-10-02T09:03:42+02:00";26.125;null;null;null;null
"2019-10-02T09:03:46+02:00";null;26.438;null;null;null
"2019-10-02T09:03:46+02:00";null;null;null;null;24.688
"2019-10-02T09:03:46+02:00";null;null;null;25.75;null
"2019-10-02T09:03:46+02:00";26.125;null;null;null;null
"2019-10-02T09:03:46+02:00";null;null;25.313;null;null
"2019-10-02T09:03:51+02:00";null;null;null;25.75;null
"2019-10-02T09:03:51+02:00";26.188;null;null;null;null
"2019-10-02T09:03:51+02:00";null;26.438;null;null;null
"2019-10-02T09:03:51+02:00";null;null;null;null;24.75
"2019-10-02T09:03:51+02:00";null;null;25.313;null;null
"2019-10-02T09:03:56+02:00";null;26.438;null;null;null
"2019-10-02T09:03:56+02:00";null;null;25.25;null;null
"2019-10-02T09:03:56+02:00";null;null;null;25.75;null
"2019-10-02T09:03:56+02:00";26.188;null;null;null;null
"2019-10-02T09:03:56+02:00";null;null;null;null;24.75
"2019-10-02T09:04:01+02:00";null;26.438;null;null;null
"2019-10-02T09:04:01+02:00";null;null;25.25;null;null
"2019-10-02T09:04:01+02:00";null;null;null;null;24.75
"2019-10-02T09:04:01+02:00";null;null;null;25.75;null
"2019-10-02T09:04:01+02:00";26.188;null;null;null;null
"2019-10-02T09:04:06+02:00";26.188;null;null;null;null
"2019-10-02T09:04:06+02:00";null;26.438;null;null;null
"2019-10-02T09:04:06+02:00";null;null;25.25;null;null
"2019-10-02T09:04:06+02:00";null;null;null;25.75;null
"2019-10-02T09:04:06+02:00";null;null;null;null;24.688
"2019-10-02T09:04:11+02:00";null;null;null;25.75;null
"2019-10-02T09:04:11+02:00";null;null;null;null;24.688
"2019-10-02T09:04:11+02:00";null;null;25.25;null;null
"2019-10-02T09:04:11+02:00";null;26.375;null;null;null
"2019-10-02T09:04:11+02:00";26.188;null;null;null;null
"2019-10-02T09:04:17+02:00";null;null;25.25;null;null
"2019-10-02T09:04:17+02:00";null;null;null;null;24.688
"2019-10-02T09:04:17+02:00";null;26.438;null;null;null
"2019-10-02T09:04:17+02:00";26.188;null;null;null;null
"2019-10-02T09:04:17+02:00";null;null;null;25.688;null
"2019-10-02T09:04:21+02:00";null;26.438;null;null;null
"2019-10-02T09:04:21+02:00";26.188;null;null;null;null
"2019-10-02T09:04:21+02:00";null;null;null;25.688;null
"2019-10-02T09:04:21+02:00";null;null;null;null;24.688
"2019-10-02T09:04:21+02:00";null;null;25.25;null;null
"2019-10-02T09:04:26+02:00";null;null;null;25.75;null
"2019-10-02T09:04:26+02:00";null;null;null;null;24.688
"2019-10-02T09:04:26+02:00";null;null;25.313;null;null
"2019-10-02T09:04:26+02:00";null;26.5;null;null;null
"2019-10-02T09:04:26+02:00";26.188;null;null;null;null
"2019-10-02T09:04:31+02:00";null;null;null;null;24.688
"2019-10-02T09:04:31+02:00";null;null;25.313;null;null
"2019-10-02T09:04:31+02:00";null;26.5;null;null;null
"2019-10-02T09:04:31+02:00";26.188;null;null;null;null
"2019-10-02T09:04:31+02:00";null;null;null;25.688;null
"2019-10-02T09:04:36+02:00";null;null;25.375;null;null
"2019-10-02T09:04:36+02:00";null;26.438;null;null;null
"2019-10-02T09:04:36+02:00";26.188;null;null;null;null
"2019-10-02T09:04:36+02:00";null;null;null;25.688;null
"2019-10-02T09:04:36+02:00";null;null;null;null;24.625
"2019-10-02T09:04:41+02:00";null;null;null;null;24.688
"2019-10-02T09:04:42+02:00";null;null;25.313;null;null
"2019-10-02T09:04:42+02:00";null;26.438;null;null;null
"2019-10-02T09:04:42+02:00";26.188;null;null;null;null
"2019-10-02T09:04:42+02:00";null;null;null;25.688;null
"2019-10-02T09:04:46+02:00";null;null;null;25.688;null
"2019-10-02T09:04:46+02:00";null;26.438;null;null;null
"2019-10-02T09:04:46+02:00";26.188;null;null;null;null
"2019-10-02T09:04:46+02:00";null;null;null;null;24.688
"2019-10-02T09:04:46+02:00";null;null;25.313;null;null
"2019-10-02T09:04:51+02:00";null;26.438;null;null;null
"2019-10-02T09:04:51+02:00";26.125;null;null;null;null
"2019-10-02T09:04:51+02:00";null;null;25.375;null;null
"2019-10-02T09:04:51+02:00";null;null;null;25.625;null
"2019-10-02T09:04:51+02:00";null;null;null;null;24.688
"2019-10-02T09:04:56+02:00";null;26.438;null;null;null
"2019-10-02T09:04:56+02:00";26.188;null;null;null;null
"2019-10-02T09:04:56+02:00";null;null;25.375;null;null
"2019-10-02T09:04:56+02:00";null;null;null;25.688;null
"2019-10-02T09:04:56+02:00";null;null;null;null;24.625
"2019-10-02T09:05:01+02:00";null;26.438;null;null;null
"2019-10-02T09:05:01+02:00";26.25;null;null;null;null
"2019-10-02T09:05:01+02:00";null;null;25.375;null;null
"2019-10-02T09:05:01+02:00";null;null;null;25.75;null
"2019-10-02T09:05:01+02:00";null;null;null;null;24.625
"2019-10-02T09:05:06+02:00";null;null;25.313;null;null
"2019-10-02T09:05:06+02:00";null;null;null;25.688;null
"2019-10-02T09:05:07+02:00";null;null;null;null;24.688
"2019-10-02T09:05:07+02:00";26.188;null;null;null;null
"2019-10-02T09:05:07+02:00";null;26.438;null;null;null
"2019-10-02T09:05:11+02:00";null;26.438;null;null;null
"2019-10-02T09:05:11+02:00";26.188;null;null;null;null
"2019-10-02T09:05:11+02:00";null;null;25.313;null;null
"2019-10-02T09:05:11+02:00";null;null;null;25.688;null
