"Time";"power_1";"power_10";"power_11";"power_2";"power_3";"power_4";"power_5";"power_6";"power_7";"power_8";"power_9"
"2019-10-02T09:09:19+02:00";null;null;null;null;null;null;null;null;2427.6636;null;null
"2019-10-02T09:09:30+02:00";null;null;null;null;null;2492.2573;null;null;null;null;null
"2019-10-02T09:09:31+02:00";null;null;null;2398.8857;null;null;null;null;null;null;null
"2019-10-02T09:09:40+02:00";null;2112.8181;null;null;null;null;null;null;null;null;null
"2019-10-02T09:09:46+02:00";null;null;null;null;null;null;null;null;null;2006.5868;null
"2019-10-02T09:09:50+02:00";null;null;null;null;null;null;2133.5295;null;null;null;null
"2019-10-02T09:09:52+02:00";null;null;null;null;null;null;null;2081.0181;null;null;null
"2019-10-02T09:09:58+02:00";null;null;null;null;2103.4912;null;null;null;null;null;null
"2019-10-02T09:09:59+02:00";4639.7847;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:10:07+02:00";null;null;2108.8403;null;null;null;null;null;null;null;null
"2019-10-02T09:10:13+02:00";null;null;null;null;null;null;null;null;null;null;2495.3335
"2019-10-02T09:10:19+02:00";null;null;null;null;null;null;null;null;2553.7847;null;null
"2019-10-02T09:10:30+02:00";null;null;null;null;null;2477.5073;null;null;null;null;null
"2019-10-02T09:10:31+02:00";null;null;null;2556.9031;null;null;null;null;null;null;null
"2019-10-02T09:10:40+02:00";null;1980.1346;null;null;null;null;null;null;null;null;null
"2019-10-02T09:10:46+02:00";null;null;null;null;null;null;null;null;null;2146.2134;null
"2019-10-02T09:10:50+02:00";null;null;null;null;null;null;2177.3213;null;null;null;null
"2019-10-02T09:10:52+02:00";null;null;null;null;null;null;null;2208.7627;null;null;null
"2019-10-02T09:10:58+02:00";null;null;null;null;2021.8933;null;null;null;null;null;null
"2019-10-02T09:10:59+02:00";4712.3916;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:11:07+02:00";null;null;2202.2554;null;null;null;null;null;null;null;null
"2019-10-02T09:11:13+02:00";null;null;null;null;null;null;null;null;null;null;2555.4487
"2019-10-02T09:11:19+02:00";null;null;null;null;null;null;null;null;2661.2646;null;null
"2019-10-02T09:11:30+02:00";null;null;null;null;null;2548.9294;null;null;null;null;null
"2019-10-02T09:11:31+02:00";null;null;null;2497.5867;null;null;null;null;null;null;null
"2019-10-02T09:11:40+02:00";null;2095.9314;null;null;null;null;null;null;null;null;null
"2019-10-02T09:11:46+02:00";null;null;null;null;null;null;null;null;null;2115.1729;null
"2019-10-02T09:11:50+02:00";null;null;null;null;null;null;2166.6216;null;null;null;null
"2019-10-02T09:11:52+02:00";null;null;null;null;null;null;null;2267.7268;null;null;null
"2019-10-02T09:11:58+02:00";null;null;null;null;2092.4775;null;null;null;null;null;null
"2019-10-02T09:11:59+02:00";4673.4341;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:12:07+02:00";null;null;2023.8016;null;null;null;null;null;null;null;null
"2019-10-02T09:12:13+02:00";null;null;null;null;null;null;null;null;null;null;2547.813
"2019-10-02T09:12:19+02:00";null;null;null;null;null;null;null;null;2687.2498;null;null
"2019-10-02T09:12:30+02:00";null;null;null;null;null;2514.4229;null;null;null;null;null
"2019-10-02T09:12:31+02:00";null;null;null;2496.0359;null;null;null;null;null;null;null
"2019-10-02T09:12:40+02:00";null;2253.2134;null;null;null;null;null;null;null;null;null
