t,sim,exp
332,0.479,0.32
333,0.487,0.32
334,0.47,0.32
335,0.482,0.32
336,0.48,0.32
337,0.494,0.32
338,0.489,0.32
339,0.493,0.319
340,0.487,0.319
341,0.491,0.319
342,0.494,0.318
343,0.497,0.318
344,0.494,0.319
345,0.481,0.319
346,0.479,0.32
347,0.506,0.32
348,0.488,0.32
349,0.494,0.32
350,0.487,0.32
351,0.492,0.32
352,0.493,0.32
353,0.505,0.32
354,0.483,0.32
355,0.493,0.32
356,0.48,0.32
357,0.491,0.32
358,0.489,0.32
359,0.498,0.32
360,0.483,0.32
361,0.49,0.32
362,0.498,0.32
363,0.501,0.32
364,0.509,0.32
365,0.494,0.32
366,0.5,0.319
367,0.496,0.319
368,0.502,0.319
369,0.499,0.32
370,0.519,0.32
371,0.493,0.32
372,0.504,0.32
373,0.496,0.319
374,0.499,0.319
375,0.5,0.319
376,0.507,0.318
377,0.493,0.318
378,0.506,0.319
379,0.501,0.319
380,0.485,0.32
381,0.491,0.32
382,0.501,0.32
383,0.488,0.32
384,0.483,0.32
385,0.489,0.32
386,0.488,0.319
387,0.488,0.319
388,0.502,0.319
389,0.503,0.319
390,0.507,0.319
391,0.496,0.319
392,0.501,0.319
393,0.507,0.319
394,0.506,0.318
395,0.506,0.318
396,0.495,0.318
397,0.502,0.318
398,0.509,0.318
399,0.494,0.318
400,0.511,0.318
401,0.494,0.318
402,0.51,0.318
403,0.491,0.319
404,0.489,0.319
405,0.502,0.319
406,0.502,0.32
407,0.499,0.32
408,0.499,0.32
409,0.502,0.319
410,0.485,0.319
411,0.499,0.319
412,0.507,0.319
413,0.503,0.319
414,0.504,0.318
415,0.5,0.318
416,0.502,0.318
417,0.497,0.318
418,0.505,0.318
419,0.497,0.318
420,0.509,0.317
421,0.507,0.318
422,0.493,0.317
423,0.497,0.317
424,0.496,0.318
425,0.492,0.318
426,0.495,0.319
427,0.491,0.32
428,0.493,0.32
429,0.496,0.32
430,0.499,0.32
431,0.488,0.32
432,0.498,0.32
433,0.494,0.319
434,0.506,0.319
435,0.502,0.318
436,0.489,0.318
437,0.498,0.318
438,0.506,0.318
439,0.501,0.318
440,0.505,0.317
441,0.489,0.317
442,0.498,0.317
443,0.496,0.317
444,0.494,0.318
445,0.51,0.318
446,0.5,0.319
447,0.494,0.319
448,0.51,0.32
449,0.51,0.32
450,0.49,0.32
451,0.479,0.319
452,0.492,0.319
453,0.51,0.319
454,0.506,0.318
455,0.497,0.318
456,0.499,0.318
457,0.505,0.318
458,0.493,0.318
459,0.502,0.318
460,0.496,0.318
