t,sim,exp
390,30.5,33
391,30.8,33
392,30.7,33
393,30.8,33
394,30.6,33
395,30.7,33
396,30.7,33
397,30.4,33
398,30.7,32.9
399,30.5,32.9
400,30.7,32.9
401,30.6,32.9
402,30.7,32.9
403,30.7,32.9
404,30.8,32.9
405,31.1,32.9
406,30.9,32.9
407,30.9,32.9
408,30.7,32.9
409,30.6,32.9
410,30.8,32.9
411,30.9,32.9
412,30.7,32.9
413,30.6,32.9
414,30.7,32.9
415,30.6,32.9
416,30.5,32.9
417,30.5,32.9
418,30.5,32.9
419,30.5,32.9
420,30.4,32.9
421,30.6,32.9
422,30.6,32.9
423,30.5,32.9
424,30.9,32.9
425,30.7,32.9
426,30.7,32.8
427,30.9,32.9
428,30.7,32.9
429,30.7,32.9
430,30.8,32.9
431,30.8,32.9
432,30.9,32.9
433,30.7,32.9
434,30.6,32.9
435,30.8,32.9
436,30.7,32.9
437,30.4,32.9
438,30.6,32.9
439,30.5,33
440,30.9,32.9
441,30.7,32.9
442,30.6,32.9
443,30.8,32.9
444,30.7,32.9
445,30.6,32.9
446,30.6,32.9
447,30.9,32.8
448,30.8,32.9
449,30.9,32.8
450,31,32.8
451,30.8,32.9
452,30.7,32.8
453,30.6,32.9
454,30.7,32.8
455,30.5,32.9
456,30.6,32.9
457,30.5,32.9
458,30.5,32.9
459,30.6,32.9
460,30.6,32.9
461,30.8,32.9
462,30.8,32.9
463,30.5,32.9
464,30.7,32.9
465,30.6,32.8
466,30.5,32.9
467,30.5,32.9
468,30.5,32.8
469,30.7,32.9
470,30.7,32.8
471,31,32.8
472,30.8,32.9
473,31,32.8
474,30.8,32.8
475,31,32.9
476,30.9,32.9
477,30.9,32.9
478,30.7,32.9
479,30.8,32.9
480,30.9,32.9
481,30.8,32.9
482,30.5,32.9
483,30.7,32.9
484,30.7,32.9
485,30.7,32.9
486,30.6,32.9
487,30.7,32.9
488,30.6,32.8
489,30.6,32.9
490,30.7,32.9
491,30.8,32.9
492,31,32.8
493,30.6,32.8
494,30.8,32.8
495,31,32.8
496,30.9,32.8
497,31,32.9
498,30.8,32.9
499,31.1,32.9
500,30.8,32.8
501,30.6,32.8
502,30.7,32.9
503,30.7,32.8
504,30.6,32.9
505,30.6,32.9
506,30.8,32.9
507,30.5,32.9
508,30.6,32.9
509,30.6,32.9
510,30.8,32.9
511,30.8,32.9
512,30.7,32.9
513,30.6,32.9
514,30.7,32.9
515,30.6,32.8
516,30.9,32.9
517,30.8,32.9
518,30.6,32.9
519,30.6,32.9
520,30.9,32.9
521,30.7,32.9
522,30.6,32.9
523,30.9,32.9
524,30.7,32.8
525,30.7,32.9
526,30.7,32.9
527,30.8,32.9
528,30.5,32.9
529,30.4,32.9
530,30.6,32.9
531,30.4,32.8
532,30.7,32.9
533,30.8,32.9
534,30.4,32.9
535,30.6,32.9
536,30.5,32.9
537,30.9,32.8
538,30.8,32.8
539,30.9,32.8
540,30.7,32.8
541,30.9,32.8
542,30.9,32.8
543,30.6,32.8
544,30.8,32.9
545,30.8,32.8
546,30.9,32.9
547,30.4,32.9
548,30.6,32.8
549,30.7,32.9
550,30.7,32.9
551,30.5,32.9
552,30.8,32.9
553,30.6,32.9
554,30.7,32.9
555,30.5,32.9
556,30.6,32.8
557,30.8,32.8
558,30.7,32.9
559,30.9,32.9
560,30.9,32.8
561,30.7,32.8
562,30.9,32.9
563,30.9,32.8
564,30.6,32.9
565,31,32.9
566,30.6,32.9
567,30.5,32.9
568,30.5,32.9
569,30.5,32.9
570,30.8,32.9
571,30.8,32.9
572,30.7,32.9
573,30.7,32.9
574,30.5,32.9
575,30.5,32.8
576,30.5,32.9
577,30.5,32.8
578,30.6,32.9
579,30.7,32.8
580,30.9,32.9
581,30.9,32.8
582,30.6,32.8
583,30.9,32.8
584,30.7,32.8
585,30.6,32.9
586,30.9,32.8
587,30.6,32.8
588,30.8,32.9
589,30.8,32.9
590,30.7,32.9
591,30.7,32.9
592,30.9,32.9
593,30.6,32.9
594,31,32.9
595,30.5,32.9
596,30.7,32.8
597,30.7,32.9
598,30.6,32.9
599,30.7,32.8
600,30.5,32.9
601,30.8,32.9
602,30.6,32.9
603,30.4,32.9
604,30.5,32.9
605,30.6,32.9
606,30.7,32.9
607,30.7,32.9
608,30.7,32.8
609,31,32.8
610,30.9,32.9
611,30.9,32.8
612,30.7,32.9
613,30.7,32.8
614,30.6,32.9
615,30.6,32.9
616,30.6,32.8
617,30.7,32.9
618,30.7,32.9
619,30.8,32.9
620,30.9,32.9
621,30.8,32.9
622,31,32.9
623,30.8,32.9
624,30.8,32.9
625,30.6,32.9
626,30.9,32.9
627,30.7,32.9
628,30.5,32.9
629,30.6,32.9
630,30.6,32.9
631,30.6,32.9
632,30.8,32.9
633,30.6,32.9
634,30.7,32.9
635,30.6,32.9
636,30.8,32.9
637,30.5,32.9
638,30.8,32.9
639,30.8,32.9
640,30.8,32.9
641,30.8,32.8
642,30.7,32.9
643,30.7,32.9
644,30.8,32.8
645,30.5,32.9
646,30.6,32.9
647,30.6,32.8
648,30.5,32.9
649,30.8,32.9
650,30.4,32.9
651,30.5,32.9
652,30.5,32.9
653,30.7,32.9
654,30.7,32.9
655,30.8,32.8
656,30.9,32.8
657,30.7,32.8
658,30.6,32.8
659,30.8,32.8
660,30.9,32.9
661,30.7,32.8
662,30.5,32.9
663,30.6,32.9
664,30.7,32.8
665,30.6,32.8
666,30.8,32.9
667,30.8,32.8
668,30.6,32.8
669,30.6,32.9
670,30.7,32.9
671,30.6,32.9
672,30.8,32.9
673,30.6,32.9
674,30.8,32.8
675,30.7,32.8
676,30.7,32.9
677,30.5,32.8
678,30.5,32.9
679,30.6,32.9
680,30.7,32.9
681,30.6,32.8
682,30.7,32.8
683,30.8,32.8
684,30.7,32.8
685,30.9,32.8
686,30.7,32.8
687,30.9,32.8
688,30.7,32.8
689,30.7,32.8
690,30.6,32.9
691,30.6,32.8
692,31,32.8
693,30.8,32.9
694,30.8,32.9
695,30.8,32.9
696,30.8,32.9
697,30.7,32.9
698,30.7,32.9
699,30.5,32.9
700,30.4,32.9
701,30.5,32.9
702,30.6,32.9
703,30.5,32.9
704,30.5,32.9
705,30.7,32.9
706,30.5,32.8
707,30.5,32.8
708,30.8,32.8
709,30.9,32.8
710,30.7,32.9
711,30.7,32.9
712,30.9,32.8
713,30.8,32.9
714,30.6,32.9
715,30.7,32.8
716,30.6,32.8
717,30.6,32.8
718,30.9,32.8
719,30.9,32.9
720,30.6,32.9
721,30.6,32.8
722,30.2,32.9
723,30,32.8
724,29.9,32.8
725,29.9,32.8
726,30,32.8
727,30.1,32.7
728,30.1,32.7
729,30.2,32.6
730,29.9,32.6
731,29.9,32.6
732,29.9,32.6
733,30,32.5
734,29.8,32.5
735,29.8,32.5
736,29.8,32.4
737,29.7,32.4
738,29.8,32.4
739,29.8,32.3
740,29.7,32.4
741,29.8,32.4
742,29.9,32.3
743,29.9,32.3
744,30.1,32.3
745,29.8,32.2
746,29.9,32.3
747,29.9,32.3
748,30.2,32.3
749,30,32.2
750,29.9,32.3
751,29.8,32.3
752,30,32.3
753,29.9,32.2
754,29.8,32.2
755,30,32.3
756,29.8,32.2
757,29.7,32.2
758,29.8,32.2
759,29.8,32.2
760,29.9,32.2
761,29.8,32.2
762,29.9,32.2
763,29.9,32.2
764,30,32.2
765,29.9,32.2
766,29.9,32.2
767,29.8,32.2
768,30,32.2
769,29.9,32.2
770,29.9,32.2
771,30,32.2
772,29.8,32.2
773,29.9,32.2
774,29.8,32.2
775,29.9,32.2
776,29.7,32.2
777,29.7,32.2
778,29.7,32.2
779,29.7,32.2
780,29.7,32.2
781,29.8,32.2
782,29.7,32.2
783,29.8,32.2
784,30,32.2
785,29.9,32.2
786,29.8,32.2
787,29.8,32.2
788,29.7,32.2
789,29.9,32.2
790,29.9,32.2
791,29.8,32.2
792,29.9,32.2
793,29.8,32.2
794,29.9,32.2
795,30.2,32.2
796,29.9,32.2
797,30,32.2
798,30.1,32.2
799,29.8,32.2
800,30.1,32.2
801,30.1,32.2
802,30.2,32.2
803,30.1,32.2
804,30.1,32.2
805,30,32.2
806,30.1,32.2
807,30.2,32.2
808,30.2,32.2
809,30.5,32.2
810,30.5,32.2
811,30.6,32.1
812,30.7,32.1
813,31,32.2
814,31,32.2
815,30.8,32.2
816,31.1,32.1
817,30.9,32.1
818,30.8,32.2
819,31,32.1
820,30.6,32.2
821,30.8,32.2
822,30.7,32.2
823,30.6,32.2
824,30.7,32.2
825,30.8,32.2
826,31.2,32.2
827,31.1,32.2
828,31,32.2
829,30.8,32.2
830,30.8,32.2
831,31.1,32.2
832,30.9,32.1
833,30.6,32.2
834,31,32.2
835,30.9,32.2
836,30.7,32.2
837,31,32.1
838,31,32.1
839,31.2,32.2
840,31.1,32.1
841,30.9,32.2
842,31.2,32.1
843,31,32.1
844,30.6,32.1
845,31,32.2
846,30.9,32.2
847,31.2,32.1
848,31.4,32.1
849,31.2,32.2
850,31.2,32.2
851,31.2,32.2
852,31.2,32.2
853,31.4,32.2
854,31.4,32.2
855,32,32.1
856,31.5,32.1
857,31.6,32.2
858,31.6,32.1
859,31.8,32.1
860,31.7,32.2
861,31.9,32.1
862,32.3,32.2
863,32.3,32.2
864,32.6,32.2
865,33,32.1
866,34,32.2
867,34.2,32.2
868,34.6,32.2
869,34.7,32.2
870,35.1,32.1
871,34.7,32.2
872,35,32.2
873,34.5,32.2
874,34.5,32.2
875,34.5,32.2
876,34.4,32.2
877,34.6,32.3
878,34.7,32.3
879,34.7,32.2
880,34.3,32.2
881,34.6,32.3
882,34.5,32.2
883,34.5,32.2
884,34.5,32.3
885,34.5,32.2
886,34.4,32.3
887,34.4,32.3
888,34.6,32.2
889,34.6,32.3
890,34.6,32.3
891,34.3,32.2
892,34.1,32.3
893,34.5,32.3
894,34.9,32.3
895,34.4,32.3
896,34.6,32.3
897,34.4,32.3
898,34.3,32.3
899,34.3,32.3
900,34.2,32.3
901,34.4,32.3
902,34.3,32.3
903,34.5,32.3
904,34.3,32.2
905,34.7,32.3
906,34.3,32.2
907,34.3,32.3
908,34.2,32.3
909,34.5,32.2
910,33.8,32.2
911,34.4,32.3
912,34.5,32.3
913,34.8,32.3
914,34.4,32.3
915,34.9,32.3
916,34.3,32.3
917,34,32.3
918,34.4,32.3
919,34.7,32.2
920,34.5,32.3
921,34.3,32.3
922,34.6,32.3
923,35.1,32.3
924,34.3,32.3
925,34.5,32.3
926,34.4,32.3
927,34.3,32.3
928,34.6,32.3
929,34.1,32.3
930,34.4,32.3
931,34.5,32.3
932,34.4,32.3
933,34.5,32.3
934,34.3,32.3
935,34.3,32.3
936,34.5,32.3
937,34.7,32.3
938,34.2,32.3
939,34.8,32.3
940,34.5,32.3
941,35,32.4
942,34.5,32.3
943,34.4,32.3
944,34.4,32.4
945,34.4,32.3
946,34.4,32.3
947,35,32.3
948,34,32.3
949,34.5,32.3
950,34.6,32.3
951,34.1,32.3
952,34.6,32.3
953,34.4,32.3
954,34.1,32.3
955,34.5,32.4
956,34.5,32.3
957,34.4,32.3
958,34.5,32.3
959,34.5,32.3
960,34.7,32.3
961,34.7,32.3
962,34.3,32.3
963,34.5,32.3
964,34.4,32.3
965,34.2,32.3
966,34.7,32.3
967,33.8,32.3
968,34.4,32.3
969,34.4,32.3
970,34.8,32.3
971,34.7,32.3
972,34.7,32.3
973,34.5,32.3
974,34.6,32.3
975,34.5,32.3
976,34.3,32.3
977,34.7,32.3
978,34.7,32.3
979,34.4,32.3
980,33.9,32.3
981,34,32.3
982,34.8,32.3
983,34.9,32.3
984,34.4,32.3
985,34.3,32.3
986,34.4,32.3
987,34.4,32.3
988,34.3,32.3
989,34.1,32.3
990,34.8,32.3
991,34.4,32.3
992,34.6,32.3
993,34.2,32.3
994,34.2,32.3
995,34.5,32.3
996,34.9,32.3
997,34.6,32.4
998,34.4,32.3
999,34.6,32.3
1e+03,34.3,32.4
1e+03,34.2,32.4
1e+03,34.2,32.3
1e+03,34.2,32.4
1e+03,34.3,32.4
1e+03,34.6,32.3
1.01e+03,34.2,32.3
1.01e+03,34.5,32.3
1.01e+03,34.2,32.3
1.01e+03,34.7,32.3
1.01e+03,34.8,32.3
1.01e+03,34.2,32.3
1.01e+03,34.2,32.3
1.01e+03,34.3,32.3
1.01e+03,34.2,32.3
1.02e+03,34.1,32.4
1.02e+03,34.6,32.3
