t,pow,rpm
739,3.62,7.31e+03
740,3.61,7.31e+03
741,3.61,7.32e+03
742,3.62,7.33e+03
743,3.63,7.33e+03
744,3.62,7.33e+03
745,3.62,7.33e+03
746,3.62,7.34e+03
747,3.63,7.33e+03
748,3.63,7.33e+03
749,3.63,7.33e+03
750,3.62,7.32e+03
751,3.62,7.33e+03
752,3.62,7.33e+03
753,3.62,7.32e+03
754,3.63,7.31e+03
755,3.62,7.31e+03
756,3.63,7.31e+03
757,3.63,7.31e+03
758,3.63,7.3e+03
759,3.63,7.31e+03
760,3.63,7.31e+03
761,3.62,7.32e+03
762,3.63,7.32e+03
763,3.63,7.32e+03
764,3.63,7.33e+03
765,3.63,7.33e+03
766,3.63,7.33e+03
767,3.62,7.33e+03
768,3.62,7.33e+03
769,3.62,7.33e+03
770,3.63,7.33e+03
771,3.62,7.32e+03
772,3.62,7.32e+03
773,3.63,7.32e+03
774,3.62,7.31e+03
775,3.62,7.31e+03
776,3.62,7.31e+03
777,3.62,7.31e+03
778,3.62,7.31e+03
779,3.62,7.31e+03
780,3.62,7.31e+03
781,3.61,7.31e+03
782,3.62,7.31e+03
783,3.63,7.31e+03
784,3.62,7.32e+03
785,3.62,7.32e+03
786,3.63,7.32e+03
787,3.62,7.32e+03
788,3.62,7.32e+03
789,3.62,7.32e+03
790,3.62,7.32e+03
791,3.63,7.31e+03
792,3.62,7.32e+03
793,3.62,7.32e+03
794,3.62,7.32e+03
795,3.62,7.32e+03
796,3.61,7.32e+03
797,3.62,7.33e+03
798,3.63,7.32e+03
799,3.63,7.32e+03
800,3.62,7.32e+03
801,3.63,7.32e+03
802,3.62,7.32e+03
803,3.63,7.32e+03
804,3.63,7.31e+03
805,3.62,7.31e+03
806,3.62,7.31e+03
807,3.62,7.3e+03
808,3.62,7.3e+03
809,3.63,7.3e+03
810,3.63,7.31e+03
811,3.62,7.31e+03
812,3.63,7.31e+03
813,3.62,7.31e+03
814,3.62,7.31e+03
815,3.63,7.32e+03
816,3.62,7.32e+03
817,3.63,7.32e+03
818,3.63,7.32e+03
819,3.63,7.32e+03
820,3.63,7.32e+03
821,3.62,7.32e+03
822,3.62,7.31e+03
823,3.62,7.32e+03
824,3.62,7.31e+03
825,3.62,7.32e+03
826,3.62,7.32e+03
827,3.62,7.32e+03
828,3.62,7.31e+03
829,3.62,7.32e+03
830,3.62,7.32e+03
831,3.62,7.32e+03
832,3.62,7.31e+03
833,3.63,7.31e+03
834,3.62,7.31e+03
835,3.62,7.31e+03
836,3.63,7.31e+03
837,3.62,7.32e+03
838,3.62,7.32e+03
839,3.63,7.32e+03
840,3.62,7.32e+03
841,3.62,7.32e+03
842,3.62,7.31e+03
843,3.62,7.31e+03
844,3.62,7.32e+03
845,3.62,7.32e+03
846,3.63,7.31e+03
847,3.62,7.32e+03
848,3.63,7.31e+03
849,3.63,7.32e+03
850,3.62,7.32e+03
851,3.62,7.32e+03
852,3.62,7.31e+03
853,3.62,7.31e+03
854,3.63,7.3e+03
855,3.62,7.3e+03
856,3.62,7.31e+03
857,3.62,7.32e+03
858,3.62,7.32e+03
859,3.62,7.32e+03
860,3.62,7.32e+03
861,3.62,7.32e+03
862,3.62,7.3e+03
863,3.62,7.3e+03
864,3.62,7.3e+03
865,3.62,7.29e+03
866,3.62,7.3e+03
867,3.62,7.31e+03
868,3.62,7.31e+03
869,3.62,7.32e+03
870,3.62,7.32e+03
871,3.62,7.31e+03
872,3.62,7.31e+03
873,3.62,7.31e+03
874,3.62,7.3e+03
875,3.62,7.3e+03
876,3.62,7.29e+03
877,3.62,7.28e+03
878,3.61,7.28e+03
879,3.61,7.28e+03
880,3.61,7.28e+03
