t,sim,exp
566,1.14,1.01
567,1.14,1.01
568,1.13,1.01
569,1.14,1.01
570,1.14,1.01
571,1.14,1.01
572,1.14,1
573,1.14,1.01
574,1.14,1.01
575,1.13,1.01
576,1.14,1.01
577,1.14,1.01
578,1.14,1.01
579,1.13,1.01
580,1.13,1.01
581,1.14,1.01
582,1.13,1.01
583,1.14,1.01
584,1.14,1.01
585,1.15,1.01
586,1.13,1.01
587,1.14,1
588,1.13,1.01
589,1.14,1.01
590,1.13,1.01
591,1.13,1.01
592,1.13,1.01
593,1.14,1.01
594,1.14,1.01
595,1.13,1.01
596,1.13,1.01
597,1.14,1
598,1.14,1.01
599,1.13,1.01
600,1.13,1.01
601,1.14,1.01
602,1.14,1.01
603,1.15,1.01
604,1.13,1.01
605,1.13,1.01
606,1.14,1
607,1.13,1.01
608,1.14,1.01
609,1.13,1.01
610,1.14,1.01
611,1.14,1.01
612,1.14,1.01
613,1.14,1.01
614,1.13,1.01
615,1.14,1.01
616,1.13,1.01
617,1.13,1.01
618,1.14,1.01
619,1.13,1.01
620,1.14,1.01
621,1.13,1.01
622,1.13,1.01
623,1.14,1.01
624,1.14,1.01
625,1.14,1.01
626,1.14,1.01
627,1.14,1.01
628,1.14,1
629,1.13,1.01
630,1.13,1.01
631,1.14,1.01
632,1.13,1.01
633,1.14,1.01
634,1.13,1.01
635,1.14,1.01
636,1.14,1.01
637,1.14,1.01
638,1.14,1.01
639,1.14,1.01
640,1.13,1.01
641,1.14,1.01
642,1.14,1.01
643,1.14,1.01
644,1.14,1.01
645,1.14,1.01
646,1.15,1.01
647,1.14,1.01
648,1.14,1.01
649,1.14,1.01
650,1.14,1.01
651,1.14,1.01
652,1.14,1.01
653,1.13,1.01
654,1.14,1.01
655,1.14,1.01
656,1.13,1
657,1.13,1.01
658,1.14,1.01
659,1.13,1.01
660,1.14,1.01
661,1.13,1.01
662,1.13,1.01
663,1.14,1.01
664,1.12,1.01
665,1.13,1.02
666,1.14,1.01
667,1.13,1.01
668,1.14,1.01
669,1.14,1.01
670,1.14,1.01
671,1.14,1.01
672,1.14,1.01
673,1.13,1.01
674,1.14,1.01
675,1.14,1.01
676,1.14,1.01
677,1.13,1.01
678,1.14,1.01
679,1.14,1.01
680,1.14,1.01
681,1.13,1.01
682,1.13,1
683,1.13,1.01
684,1.13,1.01
685,1.13,1.01
686,1.13,1.01
687,1.14,1.01
688,1.14,1.01
689,1.14,1.01
690,1.13,1.01
691,1.13,1.01
692,1.15,1.02
693,1.14,1.01
694,1.14,1.01
695,1.14,1.02
696,1.13,1.01
697,1.14,1.01
698,1.14,1.01
699,1.14,1.01
700,1.14,1.01
701,1.13,1.01
702,1.14,1
703,1.13,1.01
704,1.14,1.01
705,1.14,1.01
706,1.13,1.01
707,1.13,1.01
708,1.13,1.01
709,1.13,1.01
710,1.14,1.01
711,1.13,1.01
712,1.15,1.01
713,1.14,1.01
714,1.14,1.01
715,1.14,1.01
716,1.14,1.01
717,1.14,1.01
718,1.14,1.01
719,1.14,1.01
720,1.14,1.01
721,1.15,0.921
722,1.11,0.944
723,1.12,0.948
724,1.13,0.948
725,1.12,0.942
726,1.12,0.953
727,1.12,0.956
728,1.12,0.951
729,1.12,0.952
730,1.12,0.944
731,1.12,0.95
732,1.12,0.959
733,1.12,0.949
734,1.12,0.944
735,1.12,0.943
736,1.11,0.953
737,1.12,0.94
