time,CRAC01_T_in,CRAC01_T_out,CRAC02_T_in,CRAC02_T_out,CRAC03_T_in,CRAC03_T_out,CRAC04_T_in,CRAC04_T_out,P02R01_T_in_b,P02R01_T_in_m,P02R01_T_in_t,P02R01_T_out_b,P02R01_T_out_m,P02R01_T_out_t,P02R02_T_in_b,P02R02_T_in_m,P02R02_T_in_t,P02R02_T_out_b,P02R02_T_out_m,P02R02_T_out_t,P02R03_T_in_b,P02R03_T_in_m,P02R03_T_in_t,P02R03_T_out_b,P02R03_T_out_m,P02R03_T_out_t,P02R04_T_in_b,P02R04_T_in_m,P02R04_T_in_t,P02R04_T_out_b,P02R04_T_out_m,P02R04_T_out_t,P02R05_T_in_b,P02R05_T_in_m,P02R05_T_in_t,P02R05_T_out_b,P02R05_T_out_m,P02R05_T_out_t,P02R06_T_in_b,P02R06_T_in_m,P02R06_T_in_t,P02R06_T_out_b,P02R06_T_out_m,P02R06_T_out_t,P02R07_T_in_b,P02R07_T_in_m,P02R07_T_in_t,P02R07_T_out_b,P02R07_T_out_m,P02R07_T_out_t,P02R08_T_in_b,P02R08_T_in_m,P02R08_T_in_t,P02R08_T_out_b,P02R08_T_out_m,P02R08_T_out_t,P02R09_T_in_b,P02R09_T_in_m,P02R09_T_in_t,P02R09_T_out_b,P02R09_T_out_m,P02R09_T_out_t,P02R10_T_in_b,P02R10_T_in_m,P02R10_T_in_t,P02R10_T_out_b,P02R10_T_out_m,P02R10_T_out_t
1516695600,36.9762,21.1196,35.2446,21.4225,35.9556,20.4287,36.4404,20.1752,21.2254,23.1464,34.1638,38.282,38.5185,49.07,22.195,21.1317,26.3313,43.8746,43.2972,46.7166,22.3335,21.5186,26.4622,45.2909,43.6375,47.1568,22.1964,21.6071,24.0145,36.6737,34.8648,36.7774,22.2458,23.1355,29.5501,33.2319,32.5471,38.0981,22.2407,22.0774,31.2806,34.0872,33.6902,40.9116,21.8399,20.493,29.3477,32.682,30.744,37.7757,22.5101,20.9134,27.71,34.9399,34.5355,37.7453,23.643,20.6901,27.021,35.9367,35.0791,37.5175,23.2988,21.2923,29.487,35.153,35.9332,37.9942
1516695660,36.9858,21.1322,35.1607,21.4154,36.0347,20.4427,36.5437,20.1996,21.2143,23.2172,34.528,38.2772,38.5698,49.3701,22.1064,21.1395,26.2764,43.8305,43.2781,46.6386,22.3725,21.5244,26.389,45.3912,43.639,47.0826,22.1874,21.6037,23.5033,36.6783,34.8939,36.3804,22.1719,23.1527,29.25,33.1723,32.5253,37.8123,22.2645,22.2458,30.7971,34.124,33.8451,40.6426,21.8815,20.4612,29.4286,32.7143,30.7619,37.784,22.5589,20.9223,28.1704,34.9806,34.8187,37.972,23.743,20.6485,27.3122,35.9796,35.1139,37.5641,23.3306,21.1887,29.1162,35.0638,35.803,37.9204
1516695720,36.8595,21.1267,35.1811,21.4111,36.1968,20.4713,36.5306,20.2054,21.2205,23.3343,34.6666,38.279,38.6856,49.3662,22.0367,21.1303,26.2132,43.7204,43.3064,46.5776,22.3891,21.509,26.2007,45.3727,43.622,46.8641,22.1667,21.6036,23.5741,36.6106,34.8562,36.3776,22.1327,23.0057,29.4479,33.1312,32.3993,37.9233,22.307,22.4261,31.4201,34.1282,33.9572,41.1216,21.8705,20.6119,30.0088,32.7196,30.8626,38.4823,22.7177,20.9309,28.1709,35.0422,34.8813,38.017,23.5506,20.5516,27.1932,35.9396,35.0325,37.555,23.3637,21.1117,29.461,34.8343,36.0772,38.1647
1516695780,36.7236,21.2174,35.1619,21.417,35.9592,20.463,36.3589,20.1831,21.2999,23.0106,33.5858,38.373,38.3638,48.5876,22.1263,21.2295,25.6549,43.8438,43.4122,46.1562,22.3997,21.5665,26.2261,45.4363,43.6672,46.809,22.1997,21.6048,23.5287,36.6722,34.8436,36.382,22.1792,23.1349,29.1912,33.1783,32.4926,37.7809,22.2714,22.3149,31.2201,34.1134,33.8775,41.1276,21.8951,20.5169,29.4976,32.7218,30.7691,37.8259,22.8776,20.9394,27.6163,35.1841,34.8152,37.7918,23.3154,20.6271,26.8545,35.9215,34.9335,37.4003,23.2295,21.1319,28.4196,35.1658,35.6427,37.6382
1516695840,36.3794,21.3579,35.0406,21.4217,36.0667,20.3884,36.3499,20.1747,21.4662,23.0062,33.3452,38.4546,38.3256,48.4978,22.2089,21.3683,24.0129,43.8084,43.4835,45.0435,22.6557,21.5551,25.7213,45.6732,43.6805,46.3135,22.2039,21.6115,23.8264,36.6347,34.8439,36.5654,22.2301,22.9035,29.521,33.1902,32.325,38.0279,22.2355,22.3005,31.1742,34.0521,33.8543,40.9787,21.8309,20.5198,29.6028,32.649,30.7867,38.069,22.6784,20.8648,27.9638,35.0612,34.6625,37.9516,23.5659,20.5564,26.8334,36.0535,35.0686,37.4457,23.348,21.0782,29.032,35.1818,35.7543,37.8389
1516695900,36.3396,21.5071,35.0924,21.4161,35.9876,20.3715,36.3642,20.1734,21.5884,23.1135,33.4353,38.6162,38.4372,48.5162,22.2777,21.5227,23.8418,44.1874,43.6799,44.9944,22.7595,21.6282,25.4564,45.7523,43.7268,46.0459,22.2127,21.6131,23.5918,36.659,34.8459,36.4181,22.1985,22.941,29.1103,33.1957,32.3636,37.7083,22.2163,22.198,30.9358,34.0574,33.778,40.678,21.8237,20.3847,29.2111,32.649,30.6726,37.5812,22.5229,20.8245,27.6347,35.0439,34.3087,37.5437,23.632,20.6037,26.8867,36.064,35.1151,37.426,23.3167,21.1214,28.5184,34.8831,36.0354,37.7338
1516695960,36.3332,21.6092,35.055,21.4218,36.0071,20.3751,36.3111,20.157,21.7215,23.0682,33.2264,38.6927,38.3468,48.3601,22.4605,21.6221,23.7047,44.2035,43.7319,44.8885,22.5199,21.6427,25.8404,45.6035,43.764,46.325,22.2211,21.6102,23.7519,36.642,34.83,36.5052,22.1998,22.867,29.6016,33.2024,32.3371,38.1716,22.2291,22.3715,30.995,34.0662,33.9176,40.7455,21.8135,20.4058,29.4749,32.6945,30.7037,37.831,22.5046,20.8588,27.7393,34.9624,34.8481,37.8601,23.4534,20.5508,26.9868,36.1,35.0403,37.3602,23.3083,21.1012,29.1808,35.2698,35.8075,37.7486
1516696020,36.4206,21.6145,35.1607,21.3174,36.0751,20.3787,36.3708,20.1605,21.6953,23.0967,33.3476,38.6741,38.3984,48.3986,22.358,21.6302,23.9311,43.9769,43.7109,45.0399,22.3965,21.6227,25.6913,45.4912,43.7211,46.1778,22.13,21.5071,23.7338,36.6125,34.7748,36.4954,22.1316,22.9455,29.2421,33.1522,32.3652,37.8109,22.2556,22.4116,31.5298,34.0949,33.9551,41.2567,21.8219,20.445,29.1109,32.6852,30.7297,37.6201,22.7686,20.8264,27.9622,35.1481,34.895,37.958,23.3952,20.5339,27.1198,35.9319,35.0283,37.5018,23.2469,21.1592,28.8369,35.065,35.9731,37.7462
1516696080,36.502,21.7149,34.9743,21.4135,36.1169,20.3801,36.3903,20.1611,21.7987,23.1199,33.5456,38.8524,38.4551,48.6408,22.5323,21.7308,23.7015,44.3544,43.8515,45.0013,22.5124,21.6981,25.466,45.6166,43.8061,46.0324,22.2148,21.6033,23.4628,36.677,34.8431,36.3334,22.1767,22.8775,29.0552,33.1754,32.296,37.5901,22.2161,22.3342,31.2926,34.0703,33.8974,41.2118,21.8428,20.4201,29.6821,32.6751,30.6885,38.0901,22.517,20.7892,27.9647,35.0762,34.5942,37.972,23.3899,20.6116,27.1425,36.1338,35.438,37.747,23.3332,21.2608,28.9351,35.1646,36.3115,38.0955
1516696140,36.3947,21.7188,35.0512,21.4213,36.1181,20.347,36.4262,20.181,21.8094,23.1811,33.3302,38.8494,38.491,48.3852,22.5099,21.7366,24.0136,44.2685,43.8598,45.193,22.5441,21.7204,25.161,45.5777,43.8465,45.8771,22.2193,21.6118,23.8294,36.6399,34.8399,36.587,22.1838,22.7567,29.4273,33.1446,32.2462,38.0578,22.2258,22.1317,30.9967,34.0603,33.7049,40.6515,21.8128,20.3398,29.327,32.6284,30.5982,37.4896,22.6247,20.7456,27.6172,35.0584,34.2747,37.548,23.5439,20.4941,26.8663,36.0401,35.2122,37.5644,23.3304,21.1704,28.459,35.1372,36.0906,37.8252
