t,sim,exp
429,0.881,0.862
430,0.889,0.863
431,0.895,0.87
432,0.898,0.86
433,0.89,0.864
434,0.89,0.88
435,0.908,0.862
436,0.889,0.854
437,0.883,0.863
438,0.894,0.886
439,0.91,0.885
440,0.912,0.869
441,0.894,0.871
442,0.898,0.867
443,0.895,0.856
444,0.882,0.858
445,0.886,0.869
446,0.897,0.881
447,0.908,0.878
448,0.909,0.883
449,0.912,0.872
450,0.899,0.862
451,0.889,0.863
452,0.893,0.861
453,0.891,0.872
454,0.901,0.874
455,0.902,0.87
456,0.898,0.875
457,0.905,0.87
458,0.896,0.861
459,0.892,0.853
460,0.882,0.862
461,0.889,0.854
462,0.882,0.855
463,0.882,0.865
464,0.892,0.873
465,0.901,0.88
466,0.91,0.88
467,0.909,0.863
468,0.889,0.86
469,0.891,0.876
470,0.902,0.865
471,0.896,0.881
472,0.908,0.874
473,0.903,0.863
474,0.893,0.881
475,0.908,0.861
476,0.89,0.871
477,0.901,0.855
478,0.884,0.85
479,0.88,0.86
480,0.888,0.859
481,0.883,0.864
482,0.892,0.876
483,0.903,0.862
484,0.89,0.858
485,0.888,0.858
486,0.89,0.871
487,0.897,0.858
488,0.885,0.874
489,0.901,0.869
490,0.9,0.884
491,0.913,0.879
492,0.907,0.876
493,0.904,0.871
494,0.898,0.861
495,0.89,0.87
496,0.898,0.879
497,0.908,0.873
498,0.904,0.877
499,0.904,0.868
500,0.896,0.854
501,0.882,0.854
502,0.881,0.87
503,0.899,0.872
504,0.898,0.881
505,0.911,0.863
506,0.891,0.861
507,0.891,0.86
508,0.887,0.876
509,0.904,0.887
510,0.916,0.895
511,0.92,0.87
512,0.896,0.873
513,0.902,0.867
514,0.896,0.865
515,0.894,0.876
516,0.905,0.877
517,0.905,0.867
518,0.896,0.872
519,0.9,0.874
520,0.901,0.873
521,0.9,0.877
522,0.908,0.873
523,0.903,0.865
524,0.893,0.86
525,0.888,0.87
526,0.899,0.87
527,0.899,0.877
528,0.903,0.866
