t,sim,exp
663,0.158,0.15
664,0.157,0.15
665,0.158,0.151
666,0.154,0.151
667,0.161,0.151
668,0.157,0.15
669,0.17,0.15
670,0.151,0.151
671,0.151,0.15
672,0.154,0.149
673,0.164,0.149
674,0.147,0.15
675,0.154,0.149
676,0.152,0.149
677,0.159,0.149
678,0.158,0.149
679,0.155,0.149
680,0.158,0.15
681,0.154,0.149
682,0.159,0.15
683,0.158,0.15
684,0.165,0.151
685,0.168,0.15
686,0.16,0.15
687,0.157,0.151
688,0.153,0.15
689,0.154,0.15
690,0.162,0.151
691,0.159,0.15
692,0.153,0.15
693,0.162,0.15
694,0.16,0.15
695,0.157,0.15
696,0.152,0.15
697,0.153,0.15
698,0.156,0.149
699,0.145,0.149
700,0.164,0.149
701,0.156,0.149
702,0.163,0.149
703,0.154,0.148
704,0.156,0.148
705,0.153,0.149
706,0.158,0.149
707,0.154,0.15
708,0.154,0.151
709,0.164,0.151
710,0.164,0.151
711,0.156,0.151
712,0.153,0.15
713,0.165,0.151
714,0.164,0.149
715,0.156,0.149
716,0.162,0.15
717,0.161,0.149
718,0.161,0.15
719,0.154,0.15
720,0.155,0.149
721,0.168,0.15
722,0.148,0.149
723,0.149,0.149
724,0.149,0.149
725,0.148,0.149
726,0.149,0.15
727,0.15,0.15
728,0.149,0.149
729,0.149,0.15
730,0.15,0.149
731,0.15,0.15
732,0.152,0.149
733,0.147,0.149
734,0.148,0.149
735,0.149,0.149
736,0.147,0.149
737,0.148,0.148
738,0.15,0.149
739,0.149,0.149
740,0.148,0.149
741,0.147,0.148
742,0.149,0.149
743,0.149,0.149
744,0.152,0.149
745,0.148,0.149
746,0.148,0.149
747,0.149,0.15
748,0.15,0.149
749,0.151,0.149
750,0.151,0.149
751,0.149,0.149
752,0.149,0.149
753,0.149,0.149
754,0.149,0.149
755,0.149,0.148
756,0.149,0.148
757,0.15,0.148
758,0.147,0.148
759,0.148,0.148
760,0.146,0.148
761,0.146,0.149
762,0.148,0.149
763,0.148,0.149
764,0.148,0.149
765,0.151,0.149
766,0.149,0.149
767,0.147,0.149
768,0.15,0.149
769,0.148,0.149
770,0.151,0.149
771,0.149,0.149
772,0.15,0.149
773,0.149,0.149
774,0.149,0.149
775,0.149,0.148
776,0.148,0.148
777,0.145,0.148
778,0.148,0.148
779,0.148,0.148
780,0.147,0.148
781,0.148,0.147
782,0.147,0.147
783,0.145,0.148
784,0.145,0.149
785,0.149,0.148
786,0.146,0.148
787,0.148,0.149
788,0.148,0.149
789,0.147,0.149
790,0.148,0.149
791,0.15,0.149
792,0.147,0.148
793,0.15,0.148
794,0.147,0.148
795,0.149,0.149
796,0.151,0.149
797,0.149,0.149
798,0.15,0.149
799,0.148,0.149
800,0.149,0.148
801,0.149,0.149
802,0.149,0.149
803,0.151,0.148
804,0.148,0.148
805,0.148,0.148
806,0.148,0.148
807,0.148,0.148
808,0.148,0.147
809,0.148,0.148
810,0.147,0.148
811,0.148,0.147
812,0.148,0.147
813,0.148,0.148
814,0.148,0.148
815,0.149,0.147
816,0.147,0.147
817,0.147,0.148
818,0.148,0.149
819,0.15,0.148
820,0.149,0.149
821,0.148,0.149
822,0.149,0.148
823,0.147,0.147
824,0.149,0.148
825,0.148,0.149
826,0.148,0.148
827,0.148,0.148
828,0.149,0.148
829,0.148,0.148
830,0.15,0.148
