"Time";"signal_default";"signal_max_1";"signal_max_2";"signal_min"
"2019-10-01T09:41:32+02:00";51.5;90;90;10
"2019-10-01T09:42:02+02:00";49.5;90;90;10
"2019-10-01T09:42:32+02:00";49.9;90;90;10
"2019-10-01T09:43:02+02:00";50.7;90;90;10
"2019-10-01T09:43:32+02:00";50.2;90;90;10
"2019-10-01T09:44:02+02:00";50.1;90;90;10
"2019-10-01T09:44:32+02:00";50.5;90;90;10
"2019-10-01T09:45:02+02:00";50.5;90;90;10
"2019-10-01T09:45:32+02:00";49;90;90;10
"2019-10-01T09:46:02+02:00";49.4;90;90;10
"2019-10-01T09:46:32+02:00";49.8;90;90;10
"2019-10-01T09:47:02+02:00";50.9;90;90;10
"2019-10-01T09:47:32+02:00";51.1;90;90;10
"2019-10-01T09:48:02+02:00";50.7;90;90;10
"2019-10-01T09:48:32+02:00";50.3;90;90;10
"2019-10-01T09:49:02+02:00";50.4;90;90;10
"2019-10-01T09:49:32+02:00";49.9;90;90;10
"2019-10-01T09:50:02+02:00";51.4;90;90;10
"2019-10-01T09:50:32+02:00";51.6;90;90;10
"2019-10-01T09:51:02+02:00";50.8;90;90;10
"2019-10-01T09:51:32+02:00";50.2;90;90;10
"2019-10-01T09:52:02+02:00";51.2;90;90;10
"2019-10-01T09:52:32+02:00";49.7;90;90;10
"2019-10-01T09:53:02+02:00";49.8;90;90;10
"2019-10-01T09:53:32+02:00";50.2;90;90;10
"2019-10-01T09:54:02+02:00";50.7;90;90;10
"2019-10-01T09:54:32+02:00";51.2;90;90;10
"2019-10-01T09:55:02+02:00";51.9;90;90;10
"2019-10-01T09:55:32+02:00";50.9;90;90;10
"2019-10-01T09:56:02+02:00";51.4;90;90;10
"2019-10-01T09:56:32+02:00";51.5;90;90;10
"2019-10-01T09:57:02+02:00";50.1;90;90;10
"2019-10-01T09:57:32+02:00";50.9;90;90;10
"2019-10-01T09:58:02+02:00";49.9;90;90;10
"2019-10-01T09:58:32+02:00";50.2;90;90;10
"2019-10-01T09:59:02+02:00";50.1;90;90;10
"2019-10-01T09:59:32+02:00";50.1;90;90;10
"2019-10-01T10:00:02+02:00";50.1;90;90;10
"2019-10-01T10:00:32+02:00";48.5;90;90;10
"2019-10-01T10:01:02+02:00";49.3;90;90;10
"2019-10-01T10:01:32+02:00";49.3;90;90;10
"2019-10-01T10:02:02+02:00";52.1;90;90;10
"2019-10-01T10:02:32+02:00";50.7;90;90;10
"2019-10-01T10:03:02+02:00";49.8;90;90;10
"2019-10-01T10:03:32+02:00";47.7;90;90;10
"2019-10-01T10:04:02+02:00";49.7;90;90;10
"2019-10-01T10:04:32+02:00";51.7;90;90;10
"2019-10-01T10:05:02+02:00";50.3;90;90;10
"2019-10-01T10:05:32+02:00";50.8;90;90;10
"2019-10-01T10:06:02+02:00";49.4;90;90;10
"2019-10-01T10:06:32+02:00";50.8;90;90;10
"2019-10-01T10:07:02+02:00";50;90;90;10
"2019-10-01T10:07:32+02:00";50.5;90;90;10
"2019-10-01T10:08:02+02:00";49.9;90;90;10
"2019-10-01T10:08:32+02:00";49.3;90;90;10
"2019-10-01T10:09:02+02:00";50.3;90;90;10
"2019-10-01T10:09:32+02:00";49.8;90;90;10
"2019-10-01T10:10:02+02:00";49.2;90;90;10
"2019-10-01T10:10:32+02:00";49.1;90;90;10
"2019-10-01T10:11:02+02:00";50.5;90;90;10
"2019-10-01T10:11:32+02:00";50;90;90;10
"2019-10-01T10:12:02+02:00";49.5;90;90;10
"2019-10-01T10:12:32+02:00";50;90;90;10
"2019-10-01T10:13:02+02:00";49.5;90;90;10
"2019-10-01T10:13:32+02:00";50.2;90;90;10
"2019-10-01T10:14:02+02:00";49.2;90;90;10
"2019-10-01T10:14:32+02:00";49.7;90;90;10
"2019-10-01T10:15:02+02:00";51;90;90;10
"2019-10-01T10:15:32+02:00";50.1;90;90;10
"2019-10-01T10:16:02+02:00";49.7;90;90;10
"2019-10-01T10:16:32+02:00";48.9;90;90;10
"2019-10-01T10:17:02+02:00";50.3;90;90;10
"2019-10-01T10:17:32+02:00";50.2;90;90;10
"2019-10-01T10:18:02+02:00";47.8;90;90;10
