"Time";"pressure"
"2019-10-02T09:13:22+02:00";-0.6333
"2019-10-02T09:13:27+02:00";-0.5758
"2019-10-02T09:13:32+02:00";-0.5758
"2019-10-02T09:13:37+02:00";-0.6333
"2019-10-02T09:13:42+02:00";-0.6333
"2019-10-02T09:13:47+02:00";-0.6333
"2019-10-02T09:13:52+02:00";-0.5758
"2019-10-02T09:13:57+02:00";-0.6333
"2019-10-02T09:14:02+02:00";-0.6333
"2019-10-02T09:14:07+02:00";-0.6333
"2019-10-02T09:14:12+02:00";-0.6333
"2019-10-02T09:14:17+02:00";-0.6333
"2019-10-02T09:14:22+02:00";-0.5758
"2019-10-02T09:14:27+02:00";-0.5758
"2019-10-02T09:14:32+02:00";-0.5758
"2019-10-02T09:14:37+02:00";-0.5758
"2019-10-02T09:14:42+02:00";-0.5758
"2019-10-02T09:14:47+02:00";-0.5758
"2019-10-02T09:14:52+02:00";-0.6333
"2019-10-02T09:14:57+02:00";-0.5758
"2019-10-02T09:15:02+02:00";-0.6333
"2019-10-02T09:15:07+02:00";-0.6333
"2019-10-02T09:15:12+02:00";-0.5758
"2019-10-02T09:15:17+02:00";-0.5758
"2019-10-02T09:15:22+02:00";-0.6333
"2019-10-02T09:15:27+02:00";-0.6333
"2019-10-02T09:15:32+02:00";-0.5758
"2019-10-02T09:15:37+02:00";-0.5758
"2019-10-02T09:15:42+02:00";-0.5758
"2019-10-02T09:15:47+02:00";-0.6333
"2019-10-02T09:15:52+02:00";-0.6909
"2019-10-02T09:15:57+02:00";-0.6333
"2019-10-02T09:16:02+02:00";-0.6909
"2019-10-02T09:16:07+02:00";-0.6909
"2019-10-02T09:16:12+02:00";-0.6909
"2019-10-02T09:16:17+02:00";-0.6909
"2019-10-02T09:16:22+02:00";-0.5758
"2019-10-02T09:16:27+02:00";-0.5182
"2019-10-02T09:16:32+02:00";-0.5182
"2019-10-02T09:16:37+02:00";-0.5758
"2019-10-02T09:16:42+02:00";-0.5758
"2019-10-02T09:16:47+02:00";-0.5758
"2019-10-02T09:16:52+02:00";-0.6333
"2019-10-02T09:16:57+02:00";-0.6333
"2019-10-02T09:17:02+02:00";-0.6333
"2019-10-02T09:17:07+02:00";-0.6333
"2019-10-02T09:17:12+02:00";-0.6333
"2019-10-02T09:17:17+02:00";-0.6333
"2019-10-02T09:17:22+02:00";-0.5182
"2019-10-02T09:17:27+02:00";-0.6909
"2019-10-02T09:17:32+02:00";-0.6909
"2019-10-02T09:17:37+02:00";-0.6909
"2019-10-02T09:17:42+02:00";-0.6909
"2019-10-02T09:17:47+02:00";-0.6333
"2019-10-02T09:17:52+02:00";-0.6333
"2019-10-02T09:17:57+02:00";-0.5758
"2019-10-02T09:18:02+02:00";-0.5758
"2019-10-02T09:18:07+02:00";0.1152
"2019-10-02T09:18:12+02:00";-0.7485
"2019-10-02T09:18:17+02:00";-0.7485
"2019-10-02T09:18:22+02:00";-0.6909
"2019-10-02T09:18:27+02:00";-0.6909
